rank,lemma,gloss,kind,ref_count,ref_coverage
1,ὁ,the,F,19769,14.3718
2,καί,"and, also",F,8973,20.8951
3,αὐτός,unemph. 3rd pers.pronoun; -self; [the] same,F,5546,24.9269
4,σύ,you (personal pronoun),F,2894,27.0308
5,δέ,but,F,2766,29.0417
6,ἐν,"in, among. c. dat.",F,2733,31.0285
7,ἐγώ,I (first person pronoun),F,2572,32.8984
8,εἰμί,to be,L,2456,34.6838
9,λέγω,to pick; to say,L,2345,36.3886
10,εἰς,"into, to c. acc.",F,1754,37.6638
11,οὐ,not,L,1605,38.8306
12,ὅς,"who, that, which: relative pronoun",F,1408,39.8542
13,οὗτος,this; that,F,1385,40.8610
14,θεός,god,L,1307,41.8112
15,ὅτι,"conj.: that, because",F,1294,42.7519
16,πᾶς,"all, the whole",L,1244,43.6563
17,γάρ,for,F,1039,44.4116
18,μή,not,L,1036,45.1648
19,ἐκ,from out of,F,913,45.8285
20,Ἰησοῦς,,L,906,46.4872
21,ἐπί,"on, upon with gen., dat., and acc.",F,885,47.1306
22,κύριος,"a lord, master",L,713,47.6489
23,ἔχω,to have,L,706,48.1622
24,πρός,"(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding",F,696,48.6682
25,γίνομαι,,L,667,49.1531
26,διά,through c. gen.; because of c. acc.,F,666,49.6372
27,ἵνα,in order that (conj.); where (rel. adv.),F,662,50.1185
28,ἀπό,"from, away from. c. gen.",F,644,50.5867
29,ἀλλά,"otherwise, but",F,638,51.0505
30,ἔρχομαι,to come,L,631,51.5092
31,ποιέω,"to make, to do",L,568,51.9222
32,τίς,who? which?,F,554,52.3249
33,ἄνθρωπος,"man, person, human",L,550,52.7247
34,τις,"any one, any thing, some one, some thing;",F,530,53.1101
35,Χριστός,to be rubbed on,L,528,53.4939
36,ὡς,"as, how",F,503,53.8596
37,εἰ,"conj. if, whether; part. w/wishes, adv. w/imperatives",F,502,54.2245
38,οὖν,"so, then, therefore",F,494,54.5837
39,ὁράω,to see,L,476,54.9297
40,μετά,"(w gen) with, among; (w acc) after",F,470,55.2714
41,κατά,"down, against with gen.; according to, throughout with acc.",F,469,55.6123
42,ἀκούω,to hear,L,427,55.9228
43,δίδωμι,to give,L,415,56.2245
44,πολύς,"much, many",L,415,56.5262
45,πατήρ,a father,L,413,56.8264
46,ἡμέρα,day,L,389,57.1092
47,πνεῦμα,a blowing,L,379,57.3847
48,υἱός,a son,L,375,57.6574
49,ἤ,either..or; than,F,346,57.9089
50,εἷς,one,L,342,58.1575
51,ἀδελφός,sons of the same mother,L,342,58.4062
52,ἑαυτοῦ,"himself, herself, themselves",F,333,58.6482
53,περί,"around, round about with gen., dat., and acc.",F,332,58.8896
54,ἐάν,if,F,331,59.1302
55,λόγος,the word,L,330,59.3701
56,λαλέω,"to talk, chat, prattle, babble",L,297,59.5861
57,οἶδα,to know,L,296,59.8012
58,οὐρανός,heaven,L,273,59.9997
59,μαθητής,"a learner, pupil",L,262,60.1902
60,λαμβάνω,"to take, seize, receive",L,258,60.3777
61,γῆ,earth,L,248,60.5580
62,πίστις,"trust, belief; pledge, security",L,242,60.7340
63,ἐκεῖνος,"that over there, that",F,242,60.9099
64,πιστεύω,"to trust, trust to",L,241,61.0851
65,μέγας,"big, great",L,240,61.2596
66,ἅγιος,"devoted to the gods, sacred, holy",L,233,61.4290
67,οὐδείς,"not one, nobody",L,232,61.5976
68,ἀποκρίνομαι,,L,232,61.7663
69,ὄνομα,name,L,229,61.9328
70,γινώσκω,,L,221,62.0934
71,ὑπό,"from under, by, c. gen. under, c. dat., towards c. acc.",F,220,62.2534
72,ἀνήρ,a man,L,216,62.4104
73,ἐξέρχομαι,"to go out, come out",L,216,62.5674
74,τέ,,F,213,62.7223
75,γυνή,a woman,L,212,62.8764
76,δύναμαι,"to be able, capable, strong enough",L,209,63.0283
77,θέλω,,L,208,63.1796
78,οὕτως,"so, in this manner",L,207,63.3300
79,ἰδού,,F,200,63.4754
80,Ἰουδαῖος,,L,194,63.6165
81,εἰσέρχομαι,to go in,L,193,63.7568
82,νόμος,"usage, custom, law, ordinance",L,193,63.8971
