variant,lemma,kind,note
οὐκ,οὐ,orthographic,pre-vocalic form
οὐχ,οὐ,orthographic,pre-aspirate form
οὐχί,οὐ,orthographic,emphatic form
οὔ,οὐ,orthographic,accented before a pause
οὕτω,οὕτως,orthographic,without movable sigma
ποτέ,ποτε,orthographic,accented (non-enclitic) spelling
ἔρημος,ἐρῆμος,orthographic,accent variant
μιμνῄσκω,μιμνήσκω,orthographic,iota-subscript variant
ξύν,σύν,orthographic,older Attic spelling
ἐς,εἰς,orthographic,Ionic spelling
νίπτω,νίζω,orthographic,later present stem
νοῦς,νόος,orthographic,contracted form
πλοῦς,πλόος,orthographic,contracted form
ἀργυροῦς,ἀργύρεος,orthographic,contracted form
θέλω,ἐθέλω,morphological,unaugmented present
ἀποκρίνομαι,ἀποκρίνω,morphological,middle listed under the active headword
ψεύδομαι,ψεύδω,morphological,middle listed under the active headword
ἀνοίγω,ἀνοίγνυμι,morphological,thematic present of the -νυμι headword
ἡμεῖς,ἐγώ,morphological,plural of the first-person pronoun
μόνον,μόνος,derivational,adverb listed under its adjective
πρῶτον,πρῶτος,derivational,adverb listed under its adjective
πρότερον,πρότερος,derivational,adverb listed under its adjective
λοιπόν,λοιπός,derivational,adverb listed under its adjective
κακῶς,κακός,derivational,adverb listed under its adjective
καλῶς,καλός,derivational,adverb listed under its adjective
ἀληθῶς,ἀληθής,derivational,adverb listed under its adjective
ὅλως,ὅλος,derivational,adverb listed under its adjective
ἧττον,ἥσσων,derivational,adverb listed under its adjective
πλησίον,πλησίος,derivational,adverb listed under its adjective
