rank,lemma,gloss,kind,ref_count,ref_coverage
1,ὁ,the,F,52750,11.25
2,καί,"and, also",F,25712,16.74
3,δέ,but,F,12747,19.46
4,αὐτός,unemph. 3rd pers.pronoun; -self; [the] same,F,10923,21.79
5,εἰμί,to be,F,9888,23.89
6,ὅς,"who, that, which: relative pronoun",F,8193,25.64
7,οὗτος,this; that,F,7226,27.18
8,ἐγώ,I (first person pronoun),F,7032,28.68
9,ἐν,"in, among. c. dat.",F,5534,29.86
10,οὐ,not,F,5463,31.03
11,λέγω,to pick; to say,L,5415,32.18
12,σύ,you (personal pronoun),F,4677,33.18
13,μέν,"on the one hand, on the other hand",F,4663,34.18
14,τις,"any one, any thing, some one, some thing;",F,4495,35.13
15,γάρ,for,F,3989,35.99
16,εἰς,"into, to c. acc.",F,3882,36.81
17,τε,and,F,3464,37.55
18,ὅτι2,"conj.: that, because",F,3098,38.21
19,ὅτι,"adv. + superl., as...as possible; ὅτι μή except",F,3096,38.87
20,ἀλλά,"otherwise, but",F,2966,39.51
21,πᾶς,"all, the whole",F,2952,40.14
22,ὡς,"as, how",F,2864,40.75
23,μή,not,F,2790,41.34
24,ἔχω,to have,L,2567,41.89
25,γίγνομαι,"become, be born",L,2511,42.43
26,ἐπί,"on, upon with gen., dat., and acc.",F,2484,42.96
27,ὅς2,[possessive pronoun],F,2475,43.48
28,ἄλλος,"other, another",F,2331,43.98
29,πολύς,"much, many",F,2302,44.47
30,ἐκ,from out of,F,2263,44.95
31,εἰ,"conj. if, whether; part. w/wishes, adv. w/imperatives",F,2255,45.44
32,πρός,"(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding",F,2219,45.91
33,ποιέω,"to make, to do",L,2209,46.38
34,φημί,"to say, to claim",L,2186,46.85
35,ἄν,modal particle,F,2020,47.28
36,περί,"around, round about with gen., dat., and acc.",F,1908,47.68
37,θεός,god,L,1899,48.09
38,οὖν,"so, then, therefore",F,1883,48.49
39,αὐτοῦ,"at the very place, just here, just there",F,1878,48.89
40,ὑμός,your,F,1756,49.27
41,τῷ,"therefore, in this wise, thereupon",F,1751,49.64
42,ἐάν,if,F,1683,50
43,εἶπον,"to speak, say",L,1542,50.33
44,διά,through c. gen.; because of c. acc.,F,1525,50.65
45,δή,[interactional particle: S&H on same page],F,1505,50.97
46,ἑαυτοῦ,"himself, herself, themselves",F,1502,51.29
47,γε,"at least, at any rate",F,1497,51.61
48,πόλις,a city,L,1466,51.93
49,ἤ,either..or; than,F,1446,52.23
50,ὁράω,to see,L,1418,52.54
51,οὐδείς,"not one, nobody",F,1306,52.82
52,ἐκεῖνος,"that over there, that",F,1296,53.09
53,ἀνήρ,a man,L,1285,53.37
54,τίς,who? which?,F,1243,53.63
55,κατά,"down, against with gen.; according to, throughout with acc.",F,1217,53.89
56,οὕτως,"so, in this manner",F,1201,54.15
57,ὑπό,"from under, by, c. gen. under, c. dat., towards c. acc.",F,1180,54.4
58,δέω,"to bind, tie, fetter",L,1148,54.64
59,ὦ,O! oh!,F,1126,54.88
60,ἐμός,mine,F,1117,55.12
61,δέω2,"to lack, miss, stand in need of",L,1116,55.36
62,δοκέω,"seem, impers. it seems best..",L,1098,55.59
63,τίη,why? wherefore?,F,1082,55.82
64,ἄνθρωπος,"man, person, human",L,1071,56.05
65,τοιοῦτος,such as this,F,1069,56.28
66,ἀπό,"from, away from. c. gen.",F,1065,56.51
67,μετά,"(w gen) with, among; (w acc) after",F,1044,56.73
68,λόγος,the word,L,1044,56.95
69,μέγας,"big, great",L,1028,57.17
70,ἔρχομαι,to come,L,1023,57.39
71,ἵνα,in order that (conj.); where (rel. adv.),F,994,57.6
72,παρά,"from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.",F,965,57.81
73,ἐπεί,"after, since, when",F,925,58.01
74,οἶδα,to know,L,924,58.2
75,οὔτε,neither / nor,F,915,58.4
76,ἀκούω,to hear,L,913,58.59
77,οὐδέ,and/but not; not even,F,903,58.79
78,λαμβάνω,"to take, seize, receive",L,884,58.97
79,πρότερος,"before, earlier",,883,59.16
80,νῦν,now at this very time,F,880,59.35
81,δεῖ,it is necessary,L,815,59.52
82,καλός,beautiful,L,794,59.69
